frame,x,y,width,height
frame_00010320.jpg,268,54,36,36
frame_00010327.jpg,266,52,36,36
frame_00010328.jpg,266,52,37,37
frame_00010329.jpg,265,52,37,37
frame_00010330.jpg,266,53,36,36
frame_00010331.jpg,266,52,38,38
frame_00010332.jpg,266,52,36,36
frame_00010334.jpg,265,53,39,39
frame_00010335.jpg,266,54,37,37
frame_00010336.jpg,266,53,39,39
frame_00010338.jpg,266,54,40,40
frame_00010339.jpg,266,56,40,40
frame_00010340.jpg,265,55,43,43
frame_00010343.jpg,266,57,42,42
frame_00010346.jpg,268,59,41,41
frame_00010347.jpg,265,59,44,44
frame_00010348.jpg,264,59,46,46
frame_00010349.jpg,263,58,46,46
frame_00010350.jpg,264,60,45,45
frame_00010351.jpg,261,58,48,48
frame_00010352.jpg,261,58,48,48
frame_00010353.jpg,260,57,50,50
frame_00010354.jpg,258,53,52,52
frame_00010355.jpg,256,50,51,51
frame_00010356.jpg,254,47,52,52
frame_00010357.jpg,252,44,53,53
frame_00010358.jpg,251,41,53,53
frame_00010359.jpg,250,41,54,54
frame_00010360.jpg,249,40,54,54
frame_00010361.jpg,246,40,56,56
frame_00010362.jpg,246,43,56,56
frame_00010363.jpg,245,44,56,56
frame_00010364.jpg,241,45,60,60
frame_00010365.jpg,240,48,60,60
frame_00010366.jpg,237,53,61,61
frame_00010367.jpg,237,57,63,63
frame_00010368.jpg,236,61,64,64
frame_00010369.jpg,238,66,63,63
frame_00010370.jpg,237,67,70,70
frame_00010371.jpg,238,69,71,71
frame_00010372.jpg,240,72,70,70
frame_00010373.jpg,240,76,71,71
frame_00010374.jpg,241,81,71,71
frame_00010375.jpg,241,86,70,70
frame_00010376.jpg,241,93,70,70
frame_00010377.jpg,241,96,71,71
frame_00010378.jpg,240,99,73,73
frame_00010379.jpg,239,99,77,77
frame_00010380.jpg,243,100,72,72
frame_00010381.jpg,243,98,74,74
frame_00010382.jpg,243,94,77,77
frame_00010383.jpg,246,91,76,76
frame_00010384.jpg,247,87,75,75
frame_00010385.jpg,248,84,77,77
frame_00010386.jpg,248,79,77,77
frame_00010387.jpg,249,72,78,78
frame_00010388.jpg,249,67,81,81
frame_00010389.jpg,250,61,83,83
frame_00010390.jpg,253,59,80,80
frame_00010391.jpg,253,54,83,83
frame_00010392.jpg,255,52,82,82
frame_00010393.jpg,256,50,82,82
frame_00010394.jpg,259,49,78,78
frame_00010395.jpg,259,45,81,81
frame_00010396.jpg,259,43,82,82
frame_00010397.jpg,259,41,82,82
frame_00010398.jpg,260,40,82,82
frame_00010399.jpg,260,40,82,82
frame_00010400.jpg,259,39,83,83
frame_00010401.jpg,259,37,85,85
frame_00010402.jpg,258,37,87,87
frame_00010403.jpg,258,38,86,86
frame_00010404.jpg,258,38,87,87
frame_00010405.jpg,255,39,90,90
frame_00010406.jpg,257,42,88,88
frame_00010407.jpg,256,44,89,89
frame_00010408.jpg,253,46,93,93
frame_00010409.jpg,254,49,91,91
frame_00010410.jpg,254,52,92,92
frame_00010411.jpg,254,55,93,93
frame_00010412.jpg,255,58,92,92
frame_00010413.jpg,254,60,95,95
frame_00010417.jpg,254,68,98,98
frame_00010418.jpg,255,70,98,98
frame_00010419.jpg,254,71,97,97
frame_00010420.jpg,255,72,97,97
frame_00010421.jpg,254,72,98,98
frame_00010422.jpg,254,72,100,100
frame_00010423.jpg,253,72,100,100
frame_00010424.jpg,251,72,101,101
frame_00010425.jpg,252,72,102,102
frame_00010426.jpg,252,72,101,101
frame_00010427.jpg,252,72,100,100
frame_00010428.jpg,251,71,99,99
frame_00010429.jpg,251,70,100,100
frame_00010430.jpg,254,71,96,96
frame_00010431.jpg,253,68,97,97
frame_00010432.jpg,252,68,98,98
frame_00010433.jpg,250,65,102,102
frame_00010434.jpg,252,65,98,98
frame_00010435.jpg,251,63,99,99
frame_00010436.jpg,250,61,101,101
frame_00010437.jpg,247,59,104,104
frame_00010438.jpg,247,59,103,103
frame_00010439.jpg,247,59,102,102
frame_00010440.jpg,244,56,107,107
frame_00010441.jpg,243,55,107,107
frame_00010442.jpg,242,55,107,107
frame_00010443.jpg,242,55,106,106
frame_00010444.jpg,242,56,105,105
frame_00010445.jpg,240,57,106,106
frame_00010501.jpg,238,72,106,106
frame_00010502.jpg,237,74,106,106
frame_00010503.jpg,236,79,102,102
frame_00010504.jpg,230,80,108,108
frame_00010505.jpg,227,86,105,105
frame_00010506.jpg,226,93,104,104
frame_00010507.jpg,226,97,105,105
frame_00010508.jpg,226,102,102,102
frame_00010509.jpg,221,104,105,105
frame_00010510.jpg,221,104,104,104
frame_00010511.jpg,227,104,102,102
frame_00010512.jpg,227,104,102,102
frame_00010513.jpg,232,103,102,102
frame_00010514.jpg,234,99,102,102
frame_00010515.jpg,240,99,100,100
frame_00010516.jpg,250,99,98,98
frame_00010517.jpg,263,101,96,96
frame_00010518.jpg,278,106,91,91
frame_00010519.jpg,294,109,93,93
frame_00010561.jpg,296,69,36,36
